year,101,101.5,102,102.5,103,103.5,104,104.5,105,105.5,106,106.5,107,107.5,108,108.5,109,109.5,110,110.5
sum,16641,16087,21836,19030,16843,16178,16641,16087,21836,19030,16843,16178,16843,16178,16641,16087,21836,19030,16843,16178
1010,271,255,276,267,262,251,271,255,276,267,262,251,262,251,271,255,276,267,262,251
1011,60,57,56,57,60,58,60,57,56,57,60,58,60,58,60,57,56,57,60,58
1020,573,538,5647,543,559,543,573,538,5647,543,559,543,559,543,573,538,5647,543,559,543
1030,258,250,250,238,244,230,258,250,250,238,244,230,244,230,258,250,250,238,244,230
1040,185,176,196,191,189,175,185,176,196,191,189,175,189,175,185,176,196,191,189,175
1050,178,172,178,172,183,172,178,172,178,172,183,172,183,172,178,172,178,172,183,172
1060,200,189,203,187,208,198,200,189,203,187,208,198,208,198,200,189,203,187,208,198
1070,263,258,259,247,244,238,263,258,259,247,244,238,244,238,263,258,259,247,244,238
1090,177,167,175,159,170,164,177,167,175,159,170,164,170,164,177,167,175,159,170,164
2010,207,194,202,197,205,195,207,194,202,197,205,195,205,195,207,194,202,197,205,195
2020,264,257,260,252,274,265,264,257,260,252,274,265,274,265,264,257,260,252,274,265
2030,276,269,264,251,268,259,276,269,264,251,268,259,268,259,276,269,264,251,268,259
2040,153,145,148,149,151,145,153,145,148,149,151,145,151,145,153,145,148,149,151,145
2070,301,285,304,293,317,301,301,285,304,293,317,301,317,301,301,285,304,293,317,301
2080,161,151,167,161,161,157,161,151,167,161,161,157,161,157,161,151,167,161,161,157
2090,157,153,142,141,140,139,157,153,142,141,140,139,140,139,157,153,142,141,140,139
3021,240,237,236,225,237,227,240,237,236,225,237,227,237,227,240,237,236,225,237,227
3022,303,286,287,275,296,279,303,286,287,275,296,279,296,279,303,286,287,275,296,279
3023,220,210,224,215,215,209,220,210,224,215,215,209,215,209,220,210,224,215,215,209
3030,600,582,595,572,597,586,600,582,595,572,597,586,597,586,600,582,595,572,597,586
3050,220,212,218,209,215,207,220,212,218,209,215,207,215,207,220,212,218,209,215,207
3100,209,201,210,205,214,200,209,201,210,205,214,200,214,200,209,201,210,205,214,200
4010,908,960,913,991,898,893,908,960,913,991,898,893,898,893,908,960,913,991,898,893
4020,223,220,217,217,219,218,223,220,217,217,219,218,219,218,223,220,217,217,219,218
4030,273,270,269,267,274,274,273,270,269,267,274,274,274,274,273,270,269,267,274,274
4040,146,147,151,146,150,142,146,147,151,146,150,142,150,142,146,147,151,146,150,142
4060,153,147,153,150,171,166,153,147,153,150,171,166,171,166,153,147,153,150,171,166
4080,160,166,188,183,219,103,160,166,188,183,219,103,219,103,160,166,188,183,219,103
4090,171,165,175,167,172,165,171,165,175,167,172,165,172,165,171,165,175,167,172,165
4120,54,55,83,57,81,53,54,55,83,57,81,53,81,53,54,55,83,57,81,53
5010,450,438,445,427,463,447,450,438,445,427,463,447,463,447,450,438,445,427,463,447
5020,643,597,621,579,607,574,643,597,621,579,607,574,607,574,643,597,621,579,607,574
5040,430,414,433,422,439,431,430,414,433,422,439,431,439,431,430,414,433,422,439,431
5050,204,189,200,187,205,191,204,189,200,187,205,191,205,191,204,189,200,187,205,191
5070,210,200,207,196,208,200,210,200,207,196,208,200,208,200,210,200,207,196,208,200
5080,34,34,56,56,80,79,34,34,56,56,80,79,80,79,34,34,56,56,80,79
6010,167,164,153,150,143,140,167,164,153,150,143,140,143,140,167,164,153,150,143,140
6020,195,189,191,184,196,187,195,189,191,184,196,187,196,187,195,189,191,184,196,187
6030,156,150,157,156,166,159,156,150,157,156,166,159,166,159,156,150,157,156,166,159
6050,258,246,247,2325,241,233,258,246,247,2325,241,233,241,233,258,246,247,2325,241,233
6060,118,117,128,121,142,137,118,117,128,121,142,137,142,137,118,117,128,121,142,137
6070,181,180,191,180,195,190,181,180,191,180,195,190,195,190,181,180,191,180,195,190
6080,200,194,197,183,197,187,200,194,197,183,197,187,197,187,200,194,197,183,197,187
6090,370,370,363,362,359,362,370,370,363,362,359,362,359,362,370,370,363,362,359,362
6100,268,256,272,261,267,254,268,256,272,261,267,254,267,254,268,256,272,261,267,254
6110,181,171,169,160,177,168,181,171,169,160,177,168,177,168,181,171,169,160,177,168
6120,94,85,100,92,104,100,94,85,100,92,104,100,104,100,94,85,100,92,104,100
6130,124,116,115,109,119,115,124,116,115,109,119,115,119,115,124,116,115,109,119,115
7011,259,244,270,266,284,271,259,244,270,266,284,271,284,271,259,244,270,266,284,271
7012,171,167,176,171,185,181,171,167,176,171,185,181,185,181,171,167,176,171,185,181
7020,524,505,558,539,570,545,524,505,558,539,570,545,570,545,524,505,558,539,570,545
7030,544,526,554,516,534,505,544,526,554,516,534,505,534,505,544,526,554,516,534,505
7040,359,348,384,370,393,378,359,348,384,370,393,378,393,378,359,348,384,370,393,378
7050,212,206,219,206,217,204,212,206,219,206,217,204,217,204,212,206,219,206,217,204
8010,157,150,160,157,173,162,157,150,160,157,173,162,173,162,157,150,160,157,173,162
9010,841,775,842,792,834,814,841,775,842,792,834,814,834,814,841,775,842,792,834,814
9020,556,538,582,557,588,547,556,538,582,557,588,547,588,547,556,538,582,557,588,547
A011,272,267,269,829,276,269,272,267,269,829,276,269,276,269,272,267,269,829,276,269
A012,279,275,284,267,218,277,279,275,284,267,218,277,218,277,279,275,284,267,218,277
A013,285,280,288,282,272,270,285,280,288,282,272,270,272,270,285,280,288,282,272,270
B010,191,179,204,347,239,234,191,179,204,347,239,234,239,234,191,179,204,347,239,234
B020,144,143,155,197,159,155,144,143,155,197,159,155,159,155,144,143,155,197,159,155
